"ID","CODE_CATEGORY","REF_CODE","DESC_EN","DESC_BM","ADDBY","UPDATEBY","CREATED_AT","UPDATED_AT","PRIORITY","6731","RTW_SP_SERVICETYPE","RTW_ST_PHY","PHYSIOTHERAPY"
161483,appt_sts,"2",No assessement,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161484,appt_sts,"3",Pending for MMI,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161485,appt_sts,"4",Pending info,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161486,appt_sts,"5",Completed,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161487,appt_sts,"6",Cancel,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161488,appt_sts,"7",Close,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161489,assesstype,"1",Provisional,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161490,assesstype,"2",Final,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161491,assesstype,"3",Multiple Injury,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161492,assesstype,"4",Final Multiple Injury,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161493,audtcat,"1",OB Profile,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161494,audtcat,"2",OB Contact Info,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161495,audtcat,"3",Employer Profile,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161496,audtcat,"4",Wages Details,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161497,audtcat,"5",Case Info,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161498,audtcat,"6",Accident Info,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161499,audtcat,"7",OD Info,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161500,audtcat,"8",Ilat Info,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161501,audtcat,"9",Dependant Profile,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161502,audtcat,"10",Guardian Profile,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161503,audtcat,"11",MC Info,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161504,audtcat,"12",Document Upload,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161505,audtcat,"13",Remarks,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161506,audtcat,"14",Prefered Socso Office,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161507,audtcat,"15",Employer Certification,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161508,audtcat,"16",Bank Info,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161509,audtcat,"17",J Section,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161510,audtcat,"18",Login,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161511,audtcat,"19",Logout,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161512,audtcat,"20",User Profile,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161513,audtcat,"21",Stop Payment,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161514,audtcat,"22",Workbasket,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161515,audtcat,"23",Case Activity,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161516,baists,"1",Active,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161517,baists,"2",Inactive,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161518,baists,"3",Suspense,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161519,baists,"4",Closed,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161520,bankcode,"1",CIMB Bank Berhad (CIMB),,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161521,bankcode,"2",Maybank (MBB),,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161522,bankcode,"3",Bank Simpanan Nasional (BSN),,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161523,bankcode,"4",Bank Muamalat (BMMB),,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161524,bankcode,"5",RHB Bank Berhad (RHB),,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161525,bankcode,"6",Public Bank Berhad (PBB),,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161526,bankcode,"7",Bank Islam Malaysia Berhad (BIMB),,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161527,bankcode,"8",Hong Leong Bank Berhad (HLBB),,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161528,bankcode,"9",Ambank Berhad (AMBank),,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161529,bankloc,"0",Local Bank,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161530,bankloc,"1",Overseas Bank,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161531,benefit_type,"1",HUS,HUS,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161532,benefit_type,"2",HUK,HUK,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161533,benefit_type,"3",FOT,FOT,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161534,benefit_type,"4",ILT,ILT,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161535,benefit_type,"5",PKT,PKT,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161536,benefit_type,"6",FPM,FPM,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161537,benefitsts,"1",Benefit Endorsement,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161538,benefitsts,"2",Request Payment Option,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161539,benefitsts,"3",Request Payment Option Expired,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161540,benefitsts,"4",Request Option Sec 96,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161541,benefitsts,"5",Closed - Section 96,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161542,benefitsts,"6",Closed - Reverse Decision,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161543,benefitsts,"7",Closed -HUK created,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161544,benefitsts,"8",Closed - FOT created,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161545,benefitsts,"9",Closed - PKT created,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161546,benefitsts,"10",Closed - no more eligible dependant,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161547,benefitsts,"11",Closed with no payment,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161548,benefitsts,"12",Payment in Progress,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161549,benefitsts,"13",Closed with Payment,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161550,benefitsts,"14",Pending MC,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161551,benefitsts,"15",In Query,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161552,benefitsts,"16",Benefit Endorsement - NTU,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161553,benefitsts,"17",Revision in Progress,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161554,benefitsts,"18",Revision Completed,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161555,benefitsts,"19",Revision Payment in Progress,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161556,benefitsts,"20",Data Cleansing in progress,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161557,benefitsts,"21",Data Cleansing completed,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161558,benefitsts,"22",Data Cleansing Approved,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161559,benefitsts,"23",Suspended,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161560,benefitsts,"24",Appeal to MAB,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161561,benefitsts,"25",Active,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161562,benefitsts,"26",Closed,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161563,benefityp,ELS,Constant Attending Allowance,Elaun Layanan Sementara,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161564,benefityp,FOT,Dependants' Pension,Faedah Orang Tanggungan,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161565,benefityp,FPM,Funeral Expenses,Faedah Pengurusan Mayat,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161566,benefityp,HUK,Permanent Disablement,Hilang Upaya Kekal,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161567,benefityp,HUS,Temporary Disablement,Hilang Upaya Sementara,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161568,benefityp,ILT,Invalidity Pension,Pencen Ilat,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161569,benefityp,PKT,Survivors' Pension,Penakat,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161570,bodysystem,"1",Cardiovascular,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161571,bodysystem,"2",Pulmonary,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161572,bodysystem,"3",Digestive,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161573,bodysystem,"4",Urinary & Productive,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161574,bodysystem,"5",Skin,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161575,bodysystem,"6",Hematopoietic,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161576,bodysystem,"7",Endocrine,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161577,bodysystem,"10",Spine and Pelvis,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161578,bodysystem,"11",Nervous,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161579,bodysystem,"12",ENT,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161580,bodysystem,"13",Visual,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161581,bodysystem,"14",Mental & Behavioral Disorder,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161582,bodysystem,"15",Cancer,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161583,bodysystem,"16",Pain Related Impairment,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161584,bodysystem,"17",Burn,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161585,bodysystem,"18",Amputation,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161586,bodysystem,"19",Autoimmune Disease,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161587,bodysystem,"20",Unspecified/Others,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161588,bussentity,"1",Corporation,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161589,bussentity,"2",Partnership,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161590,bussentity,"3",Sole Proprietor / Individual Business,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161591,bussentity,"4",Others,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161592,casecategory,"1",New,Baru,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161593,casecategory,"2",Revision,Ulangkaji,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161594,casecategory,"3",Reopen,Buka Semula,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161595,casecategory,"4",Update Insured Person Profile,Kemaskini Profil Orang Berinsurans,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161596,casetype,"1",Accident,Kemalangan,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161597,casetype,"2",Occupational Disease,Penyakit Khidmat,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161598,casetype,"3",Invalidity,Keilatan,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161599,casetype,"4",Death,Kematian,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161600,causative,"111",Steam engines,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161601,causative,"112",Internal conbustion engines,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161602,causative,"113","Others - Prime-moyers, except electr. motors",,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161603,causative,"121",Transmission shafts,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161604,causative,"122","Transmission belts, cables, pulleys, pinions",,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161605,causative,"129",Others - transmission machinery,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161606,causative,"131",Power presses,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161607,causative,"132",Lathes,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161608,causative,"133",Milling machines,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161609,causative,"134",Abrasive wheels,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161610,causative,"135",Mechanical shears,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161611,causative,"136",Forging machines,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161612,causative,"137",Rolling-mills,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161613,causative,"139",Others - metalworking machines,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161614,causative,"141",Circular saws,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161615,causative,"142",Other saws,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161616,causative,"143",Moulding machines,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161617,causative,"144",Overhand planes,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161618,causative,"149",Others - wood and assimilated machines,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161619,causative,"151",Reapers (including combine reapers),,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161620,causative,"152",Threshers,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161621,causative,"159",Others - agricultural machines,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161622,causative,"161",Under-cutters,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161623,causative,"169",Others - mining machinery,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161624,causative,"191","Earth-moving machines, excavating/scraping mc",,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161625,causative,"192","Spinning, weaving and other textile machines",,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161626,causative,"193",Machines for the manufacture of foodstuffs,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161627,causative,"194",Machines for the manufacture of paper,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161628,causative,"195",Printing machines,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161629,causative,"199",Other machines not elsewhere classified,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161630,causative,"211",Cranes,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161631,causative,"212",Lifts and elevators,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161632,causative,"213",Winches,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161633,causative,"214",Pulley blocks,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161634,causative,"219",Others - lifting machines/appliances,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161635,causative,"221",Inter-urban railways,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161636,causative,"222","Rail transport in mines, tunnels, quarrels",,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161637,causative,"229",Others - means of rail transport,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161638,causative,"231",Tractors,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161639,causative,"232",Lorries,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161640,causative,"233",Trucks,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161641,causative,"234","Motor vehicles, not elsewhere classified",,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161642,causative,"235",Animal-drawn vehicles,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161643,causative,"236",Hand-drawn vehicles,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161644,causative,"239",Others - wheeled means of transport,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161645,causative,"240",Means of air transport,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161646,causative,"251",Motorized means of water transport,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161647,causative,"252",Non-motorized means of water transport,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161648,causative,"261",Cable-cars,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161649,causative,"262","Mechanical conveyors, except cable-cars",,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161650,causative,"269",Other means of transport,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161651,causative,"311",Boilers,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161652,causative,"312",Pressurized container,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161653,causative,"313",Pressurized piping and accessories,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161654,causative,"314",Gas cylinders,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161655,causative,"315","Caissons, diving equipment",,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161656,causative,"319",Other pressure vessels,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161657,causative,"321",Blast furnaces,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161658,causative,"322",Refining furnaces,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161659,causative,"323",Other furnaces,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161660,causative,"324",Kilns,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161661,causative,"325",Ovens,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161662,causative,"330",Refrigerating plants,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161663,causative,"341",Rotating machines,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161664,causative,"342",Conductors,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161665,causative,"343",Transformers,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161666,causative,"344",Control apparatus,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161667,causative,"349",Others - refrigerating installations,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161668,causative,"350",Electric hand tools,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161669,causative,"361","Power-driven hand tools, except electric",,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161670,causative,"362","Hand tools, not power driven",,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161671,causative,"369","Others - tools, implements, appliances",,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161672,causative,"370","Ladders, mobile ramps",,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161673,causative,"380",Scaffolding,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161674,causative,"390","Other equipment, not elsewhere classified",,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161675,causative,"410",Explosives,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161676,causative,"421",Dusts,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161677,causative,"422","Gases, vapours, fumes",,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161678,causative,"423",Liquids not elsewhere classified,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161679,causative,"424",Chemicals not elsewhere classified,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161680,causative,"429","Others - dusts, gases, liquids, chemicals",,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161681,causative,"430",Flying fragments,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161682,causative,"441",Ionizing radiations,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161683,causative,"449",Others - radiations,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161684,causative,"490",Other materials and substances not classified,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161685,causative,"511",Weather,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161686,causative,"512",Traffic and working surfaces,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161687,causative,"513",Water,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161688,causative,"519",Others - outdoor,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161689,causative,"521",Floors,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161690,causative,"522",Confined quarters,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
161691,causative,"523",Stairs,,,,2021-01-19 15:52:40,2021-01-19 15:52:40,,,,,
