ZON UTARA,ASSESSMENT & REPORT,General Pt  Assessment & Report,DOCUMENTATION BASED CARE (DBC ALOR SETAR),195.0
ZON UTARA,FUNCTIONAL CAPACITY EVALUATION & REPORT,Basic FCE,DOCUMENTATION BASED CARE (DBC ALOR SETAR),220.0
PAHANG,PHYSIOTHERAPY,Physiotherapy Treatment,KUANTAN MEDICAL CENTRE (KUANTAN),80.0
PAHANG,SERVICES BY PACKAGE,Pakej - Neuro Rehab,KUANTAN MEDICAL CENTRE (KUANTAN),80.0
PAHANG,SERVICES BY PACKAGE,Pakej - 3 Electrical Modalities/ More,KUANTAN MEDICAL CENTRE (KUANTAN),80.0
KELANTAN,PHYSIOTHERAPY,Physiotherapy Treatment,PHYSIOTHERAPY AND OCCUPATIONAL THERAPY CENTRE (POTCKB),70.0
KELANTAN,PHYSIOTHERAPY,Hydrotherapy,PHYSIOTHERAPY AND OCCUPATIONAL THERAPY CENTRE (POTCKB),50.0
KELANTAN,PHYSIOTHERAPY,Home Therapy + Mileage,PHYSIOTHERAPY AND OCCUPATIONAL THERAPY CENTRE (POTCKB),100.0
KELANTAN,OCCUPATIONAL THERAPY,Occupational Therapy Treatment,PHYSIOTHERAPY AND OCCUPATIONAL THERAPY CENTRE (POTCKB),70.0
KELANTAN,SPEECH THERAPY,Speech TherapyTreatment,PHYSIOTHERAPY AND OCCUPATIONAL THERAPY CENTRE (POTCKB),70.0
TERENGGANU,SERVICES BY MODALITIES,Basic Equipment -Therapeutic Ultrasound,KEMAMAN WELLNESS SDN BHD (KEMAMAN),25.0
TERENGGANU,SERVICES BY MODALITIES,Basic Equipment - Tens,KEMAMAN WELLNESS SDN BHD (KEMAMAN),25.0
TERENGGANU,SERVICES BY MODALITIES,Basic Equipment - Paraffin Wax,KEMAMAN WELLNESS SDN BHD (KEMAMAN),25.0
TERENGGANU,SERVICES BY MODALITIES,Basic Equipment - Interferential IFT,KEMAMAN WELLNESS SDN BHD (KEMAMAN),25.0
TERENGGANU,SERVICES BY MODALITIES,Basic Equipment - Hot Pack,KEMAMAN WELLNESS SDN BHD (KEMAMAN),25.0
TERENGGANU,SERVICES BY MODALITIES,Basic Equipment - Traction,KEMAMAN WELLNESS SDN BHD (KEMAMAN),25.0
TERENGGANU,SERVICES BY MODALITIES,Basic Equipment - Infrared,KEMAMAN WELLNESS SDN BHD (KEMAMAN),25.0
TERENGGANU,SERVICES BY MODALITIES,Basic Equipment - Mobilizing Exercise,KEMAMAN WELLNESS SDN BHD (KEMAMAN),25.0
TERENGGANU,SERVICES BY MODALITIES,Advance Equipment - Cryotherapy,KEMAMAN WELLNESS SDN BHD (KEMAMAN),25.0
ZON TIMUR,PHYSIOTHERAPY,Physiotherapy Treatment,KUANTAN MEDICAL CENTRE (KUANTAN),80.0
ZON TIMUR,SERVICES BY PACKAGE,Pakej - Neuro Rehab,KUANTAN MEDICAL CENTRE (KUANTAN),80.0
ZON TIMUR,SERVICES BY PACKAGE,Pakej - 3 Electrical Modalities/ More,KUANTAN MEDICAL CENTRE (KUANTAN),80.0
SABAH,PHYSIOTHERAPY,Physiotherapy Treatment,BIOREHAB PHYSIOTHERAPY SDN BHD (LABUAN),80.0
SABAH,PHYSIOTHERAPY,Home Therapy + Mileage,BIOREHAB PHYSIOTHERAPY SDN BHD (LABUAN),100.0
SABAH,ASSESSMENT & REPORT,General Pt  Assessment & Report,BIOREHAB PHYSIOTHERAPY SDN BHD (LABUAN),30.0
SABAH,SERVICES BY PACKAGE,Pakej - Neuro Rehab,BIOREHAB PHYSIOTHERAPY SDN BHD (LABUAN),80.0
SABAH,SERVICES BY PACKAGE,Pakej - 3 Electrical Modalities/ More,BIOREHAB PHYSIOTHERAPY SDN BHD (LABUAN),80.0
SARAWAK,PHYSIOTHERAPY,Physiotherapy Treatment,DOCUMENTATION BASED CARE ( DBC KUCHING),143.0
SARAWAK,ASSESSMENT & REPORT,General Ot  Assessment & Report,DOCUMENTATION BASED CARE ( DBC KUCHING),195.0
SARAWAK,FUNCTIONAL CAPACITY EVALUATION & REPORT,Complete FCE (BTE PRIMUS),DOCUMENTATION BASED CARE ( DBC KUCHING),220.0
ZON BORNEO,PHYSIOTHERAPY,Physiotherapy Treatment,BIOREHAB PHYSIOTHERAPY SDN BHD (LABUAN),80.0
ZON BORNEO,PHYSIOTHERAPY,Home Therapy + Mileage,BIOREHAB PHYSIOTHERAPY SDN BHD (LABUAN),100.0
ZON BORNEO,ASSESSMENT & REPORT,General Pt  Assessment & Report,BIOREHAB PHYSIOTHERAPY SDN BHD (LABUAN),30.0
ZON BORNEO,SERVICES BY PACKAGE,Pakej - Neuro Rehab,BIOREHAB PHYSIOTHERAPY SDN BHD (LABUAN),80.0
ZON BORNEO,SERVICES BY PACKAGE,Pakej - 3 Electrical Modalities/ More,BIOREHAB PHYSIOTHERAPY SDN BHD (LABUAN),80.0
KUALA LUMPUR,PHYSIOTHERAPY,Physiotherapy Treatment,DOCUMENTATION BASED CARE (DBC HQ),143.0
KUALA LUMPUR,ASSESSMENT & REPORT,General Pt  Assessment & Report,DOCUMENTATION BASED CARE (DBC HQ),195.0
KUALA LUMPUR,FUNCTIONAL CAPACITY EVALUATION & REPORT,Basic FCE,DOCUMENTATION BASED CARE (DBC HQ),220.0
SELANGOR,PHYSIOTHERAPY,Physiotherapy Treatment,WQ PARK HEALTH & REHABILITATION CENTRE (KELANA JAYAI),90.0
SELANGOR,PHYSIOTHERAPY,Hydrotherapy,WQ PARK HEALTH & REHABILITATION CENTRE (KELANA JAYAI),80.0
SELANGOR,OCCUPATIONAL THERAPY,Occupational Therapy Treatment,WQ PARK HEALTH & REHABILITATION CENTRE (KELANA JAYAI),90.0
